source_id,total_urls_seen,total_articles_inserted,total_errors,last_success_at,last_error_at,last_error_type,success_rate,updated_at
aljazeera_com,15,15,18,2026-05-17 12:50:29.353850,2026-05-17 12:43:08.410966,AccessControlDetected,0.45454545454545453,2026-05-17 14:29:52.558182
apnews_com,2,0,2,,2026-05-17 11:35:55.364258,AccessControlDetected,0.0,2026-05-17 14:29:52.558182
bbc_com,2,2,0,2026-05-17 11:35:51.555763,,,1.0,2026-05-17 14:29:52.558182
dw_com,2,0,2,,2026-05-17 11:35:56.450625,AccessControlDetected,0.0,2026-05-17 14:29:52.558182
ec_europa_eu,0,0,0,,,,0.0,2026-05-17 14:29:52.558182
france24_com,13,6,22,2026-05-17 12:50:25.693382,2026-05-17 12:50:29.777124,ShortContent,0.21428571428571427,2026-05-17 14:29:52.558182
fred_stlouisfed_org,0,0,0,,,,0.0,2026-05-17 14:29:52.558182
gdeltproject_org,0,0,0,,,,0.0,2026-05-17 14:29:52.558182
imf_org,0,0,0,,,,0.0,2026-05-17 14:29:52.558182
oecd_org,0,0,0,,,,0.0,2026-05-17 14:29:52.558182
reutersagency_com,2,0,2,,2026-05-17 11:35:49.595650,AccessControlDetected,0.0,2026-05-17 14:29:52.558182
sec_gov,0,0,0,,,,0.0,2026-05-17 14:29:52.558182
theguardian_com,36,0,74,,2026-05-17 12:51:11.092402,AccessControlDetected,0.0,2026-05-17 14:29:52.558182
un_org,2,1,2,2026-05-17 11:35:54.548372,2026-05-17 11:57:15.648250,AccessControlDetected,0.3333333333333333,2026-05-17 14:29:52.558182
who_int,0,0,0,,,,0.0,2026-05-17 14:29:52.558182
worldbank_org,0,0,0,,,,0.0,2026-05-17 14:29:52.558182
